Date,Open,High,Low,Close,Volume,,,,,
2020-01-02,5.97,6,5.92,6,5941969,,,,,
2020-01-03,5.88,5.95,5.85,5.9,5144308,,,,,
2020-01-06,5.81,5.93,5.78,5.93,6572812,,,,,
2020-01-07,5.96,6.04,5.91,6,7980144,,,,,
2020-01-08,5.99,6.05,5.95,6.01,6931017,,,,,
2020-01-09,6.1,6.15,6.02,6.08,6386053,,,,,
2020-01-10,6.18,6.21,6.09,6.11,7911560,,,,,
2020-01-13,6.19,6.32,6.17,6.3,8008451,,,,,
2020-01-14,6.26,6.28,6.17,6.18,8989483,,,,,
2020-01-15,6.19,6.22,6.11,6.14,6577636,,,,,
2020-01-16,6.19,6.23,6.17,6.22,7104791,,,,,
2020-01-17,6.24,6.25,6.18,6.23,6344764,,,,,
2020-01-21,6.2,6.23,6.16,6.2,5447925,,,,,
2020-01-22,6.24,6.34,6.23,6.25,5980967,,,,,
2020-01-23,6.29,6.33,6.2,6.32,6112861,,,,,
2020-01-24,6.44,6.49,6.21,6.26,9337839,,,,,
2020-01-27,5.96,6.06,5.81,6.01,11763354,,,,,
2020-01-28,6.07,6.23,6.02,6.2,7774401,,,,,
2020-01-29,6.18,6.22,6.1,6.14,6486279,,,,,
2020-01-30,6.04,6.16,5.99,6.15,7262590,,,,,
2020-01-31,6.1,6.11,5.87,5.91,9260493,,,,,
2020-02-03,5.89,6.03,5.89,6.01,6398205,,,,,
2020-02-04,6.15,6.2,6.1,6.18,6788589,,,,,
2020-02-05,6.3,6.31,6.19,6.27,5205502,,,,,
2020-02-06,6.3,6.36,6.22,6.36,5457051,,,,,
2020-02-07,6.32,6.34,6.26,6.29,4743803,,,,,
2020-02-10,6.31,6.58,6.31,6.57,13240194,,,,,
2020-02-11,6.68,6.81,6.62,6.7,15963922,,,,,
2020-02-12,6.75,6.82,6.71,6.81,9366118,,,,,
2020-02-13,6.76,6.84,6.73,6.77,13200384,,,,,
2020-02-14,7.18,7.37,7.15,7.24,26048093,,,,,
2020-02-18,7.14,7.43,7.12,7.41,15547025,,,,,
2020-02-19,7.54,7.89,7.54,7.87,17358281,,,,,
2020-02-20,7.82,7.91,7.41,7.72,20251259,,,,,
2020-02-21,7.6,7.63,7.27,7.35,19232331,,,,,
2020-02-24,6.75,7.05,6.7,6.83,21422873,,,,,
2020-02-25,6.91,6.97,6.45,6.55,26387442,,,,,
2020-02-26,6.55,6.89,6.55,6.69,18741536,,,,,
2020-02-27,6.37,6.68,6.22,6.32,22660373,,,,,
2020-02-28,6.06,6.81,6.04,6.75,28366882,,,,,
2020-03-02,6.92,6.94,6.53,6.91,22268639,,,,,
2020-03-03,6.97,7.03,6.56,6.65,16319828,,,,,
2020-03-04,6.76,7.12,6.68,7.11,14935184,,,,,
2020-03-05,6.91,7.08,6.79,6.83,13508187,,,,,
2020-03-06,6.65,6.71,6.45,6.65,12885307,,,,,
2020-03-09,6,6.49,5.95,6.14,15353960,,,,,
2020-03-10,6.41,6.53,6.15,6.53,14516218,,,,,
2020-03-11,6.39,6.42,6.06,6.16,12551693,,,,,
2020-03-12,5.64,5.9,5.4,5.41,20413535,,,,,
2020-03-13,5.76,6.03,5.49,6.02,15870943,,,,,
2020-03-16,5.31,5.65,4.85,4.91,18174303,,,,,
2020-03-17,5.02,5.52,4.78,5.43,20840799,,,,,
2020-03-18,5,5.25,4.52,5.07,21856657,,,,,
2020-03-19,5.05,5.42,4.83,5.32,19137847,,,,,
2020-03-20,5.48,5.76,5.13,5.14,20115854,,,,,
2020-03-23,5.14,5.41,4.96,5.32,16096866,,,,,
2020-03-24,5.73,6.32,5.7,6.23,27541095,,,,,
2020-03-25,6.35,6.55,6.09,6.14,19835767,,,,,
2020-03-26,6.35,6.56,6.25,6.43,17439692,,,,,
2020-03-27,6.25,6.58,6.22,6.32,15970744,,,,,
2020-03-30,6.38,6.65,6.34,6.64,15056253,,,,,
2020-03-31,6.68,6.88,6.44,6.59,23749014,,,,,
2020-04-01,6.39,6.54,6.03,6.08,16422828,,,,,
2020-04-02,6.11,6.4,6.06,6.39,16894113,,,,,
2020-04-03,6.35,6.39,5.96,6.1,16580346,,,,,
2020-04-06,6.38,6.75,6.32,6.71,18197062,,,,,
2020-04-07,6.93,6.96,6.43,6.48,19613047,,,,,
2020-04-08,6.59,6.7,6.52,6.67,13561113,,,,,
2020-04-09,6.8,6.82,6.51,6.57,13156195,,,,,
2020-04-13,6.51,6.76,6.43,6.75,9960182,,,,,
2020-04-14,6.88,7.13,6.85,7.1,13273667,,,,,
2020-04-15,6.93,7.1,6.88,7.02,9153721,,,,,
2020-04-16,7.18,7.48,7.16,7.37,18640510,,,,,
2020-04-17,7.45,7.47,7.17,7.31,13478049,,,,,
